#Organism_name,taxonomy_ID,Supergroup_group,Phylum,Class,Mitochondria_type,Plastid_type
Solanum cajamarquense,856892,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Anaerobic_mitochondria,Primary_green_plastid 
Yushania confusa,1197757,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Topsentia ophiraphidites,281489,Opisthokonta_Metazoa,Porifera,Demospongiae,Aerobic_mitochondria,None
Allium cepa,4679,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Parasarpa albomaculata,1652782,Opisthokonta_Metazoa,Arthropoda,Insecta,Undescribed,None
Pseudosasa japonica,29662,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Heterotis niloticus,91721,Opisthokonta_Metazoa,Chordata,Actinopteri,Aerobic_mitochondria,None
Metschnikowia matae var. maris,1697387,Opisthokonta_Fungi,Ascomycota,Saccharomycetes,Aerobic_mitochondria,None 
Fusarium pseudograminearum CS3096,1028729,Opisthokonta_Fungi,Ascomycota,Sordariomycetes,Aerobic_mitochondria,None 
Meuschenia hippocrepis,392920,Opisthokonta_Metazoa,Chordata,Actinopteri,Aerobic_mitochondria,None
Pimenta dioica,375272,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Portunus pelagicus,80836,Opisthokonta_Metazoa,Arthropoda,Malacostraca,Aerobic_mitochondria,None
Morchella eximia,1582338,Opisthokonta_Fungi,Ascomycota,Pezizomycetes,Aerobic_mitochondria,None 
Ampelocalamus saxatilis,2593287,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Corynocarpus laevigatus,4312,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Undescribed,Primary_green_plastid 
Wurfbainia compacta,252847,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Liposcelis paeta,209927,Opisthokonta_Metazoa,Arthropoda,Insecta,Aerobic_mitochondria,None
Tadorna tadorna,75865,Opisthokonta_Metazoa,Chordata,Aves,Aerobic_mitochondria,None
Adenocalymma subspicatum,2056452,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Heuchera villosa,423500,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Coniochaeta prunicola,744408,Opisthokonta_Fungi,Ascomycota,Sordariomycetes,Aerobic_mitochondria,None 
Cylindrophis ruffus,186578,Opisthokonta_Metazoa,Chordata,Lepidosauria,Aerobic_mitochondria,None
Stegnogramma sagittifolia,1132989,Archaeplastida_Viridiplantae,Streptophyta,Polypodiopsida,Aerobic_mitochondria,Primary_green_plastid 
Conepatus chinga,30542,Opisthokonta_Metazoa,Chordata,Mammalia,Aerobic_mitochondria,None
Tethya actinia,233783,Opisthokonta_Metazoa,Porifera,Demospongiae,Aerobic_mitochondria,None
Chalceus macrolepidotus,42552,Opisthokonta_Metazoa,Chordata,Actinopteri,Aerobic_mitochondria,None
Katharina tunicata,34587,Opisthokonta_Metazoa,Mollusca,Polyplacophora,Aerobic_mitochondria,None
Bursaphelenchus mucronatus,6325,Opisthokonta_Metazoa,Nematoda,Chromadorea,Aerobic_mitochondria,None
Cyprinus acutidorsalis,1548121,Opisthokonta_Metazoa,Chordata,Actinopteri,Aerobic_mitochondria,None
Hypsiglena torquata,46305,Opisthokonta_Metazoa,Chordata,Lepidosauria,Anaerobic_mitochondria,None
Solenodon paradoxus woodi,1906353,Opisthokonta_Metazoa,Chordata,Mammalia,Aerobic_mitochondria,None
Acheilognathus somjinensis,481701,Opisthokonta_Metazoa,Chordata,Actinopteri,Aerobic_mitochondria,None
Cerataulina daemon,1527800,SAR_Stramenopiles,Bacillariophyta,Mediophyceae,Aerobic_mitochondria,Secondary_red_plastid
Pseudorca crassidens,82174,Opisthokonta_Metazoa,Chordata,Mammalia,Aerobic_mitochondria,None
Thorius n. sp. RLM-2004,291261,Opisthokonta_Metazoa,Chordata,Amphibia,Aerobic_mitochondria,None
Dorcadia ioffi,2040515,Opisthokonta_Metazoa,Arthropoda,Insecta,Aerobic_mitochondria,None
Ulmus chenmoui,1737302,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Macaca fuscata fuscata,9543,Opisthokonta_Metazoa,Chordata,Mammalia,Aerobic_mitochondria,None
Klebsormidium flaccidum,3175,Archaeplastida_Viridiplantae,Streptophyta,Klebsormidiophyceae,Aerobic_mitochondria,Primary_green_plastid 
Vitis cinerea var. floridana,1046261,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Selaginella tamariscina,137178,Archaeplastida_Viridiplantae,Streptophyta,Lycopodiopsida,Aerobic_mitochondria,Primary_green_plastid 
Sorex minutissimus,62274,Opisthokonta_Metazoa,Chordata,Mammalia,Aerobic_mitochondria,None
Juglans microcarpa,91219,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Dasypus sabanicola,1756217,Opisthokonta_Metazoa,Chordata,Mammalia,Aerobic_mitochondria,None
Paris luquanensis,221256,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Proboscitermes tubuliferus,1934589,Opisthokonta_Metazoa,Arthropoda,Insecta,Aerobic_mitochondria,None
Rafetus swinhoei,904230,Opisthokonta_Metazoa,Chordata,Reptilia,Aerobic_mitochondria,None
Lophium mytilinum,390894,Opisthokonta_Fungi,Ascomycota,Dothideomycetes,Aerobic_mitochondria,None 
Piofontia jaramilloi,587513,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Prunus dulcis,3755,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Algansea lacustris,364078,Opisthokonta_Metazoa,Chordata,Actinopteri,Aerobic_mitochondria,None
Harpochytrium sp. JEL105,224131,Opisthokonta_Fungi,Chytridiomycota,Monoblepharidomycetes,Aerobic_mitochondria,None 
Crassostrea sp. DB1,545777,Opisthokonta_Metazoa,Mollusca,Bivalvia,Aerobic_mitochondria,None
Petroica goodenovii,242120,Opisthokonta_Metazoa,Chordata,Aves,Aerobic_mitochondria,None
Coccomyxa subellipsoidea C-169,574566,Archaeplastida_Viridiplantae,Chlorophyta,Trebouxiophyceae,Undescribed,Primary_green_plastid 
Fonticula-like sp. SCN 57-25,1660239,Opisthokonta_Cristidiscoidea,Holomycota,unclassified Fonticulida,Undescribed,None 
Engaeus quadrimanus,219698,Opisthokonta_Metazoa,Arthropoda,Malacostraca,Aerobic_mitochondria,None
Gadiculus argenteus,185737,Opisthokonta_Metazoa,Chordata,Actinopteri,Aerobic_mitochondria,None
Oxymeris dimidiata,1076716,Opisthokonta_Metazoa,Mollusca,Gastropoda,Aerobic_mitochondria,None
Asymmetricata circumdata,1915122,Opisthokonta_Metazoa,Arthropoda,Insecta,Aerobic_mitochondria,None
Allonautilus scrobiculatus,34575,Opisthokonta_Metazoa,Mollusca,Cephalopoda,Aerobic_mitochondria,None
Macrotermes vitrialatus,1934505,Opisthokonta_Metazoa,Arthropoda,Insecta,Aerobic_mitochondria,None
Oncidium sphacelatum,48524,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Anaerobic_mitochondria,Primary_green_plastid 
Curvularia kusanoi,90978,Opisthokonta_Fungi,Ascomycota,Dothideomycetes,Aerobic_mitochondria,None 
Leopoldamys sabanus,69073,Opisthokonta_Metazoa,Chordata,Mammalia,Aerobic_mitochondria,None
Neotoma lepida,56216,Opisthokonta_Metazoa,Chordata,Mammalia,Aerobic_mitochondria,None
Trichoderma harzianum CBS 226.95,983964,Opisthokonta_Fungi,Ascomycota,Sordariomycetes,Aerobic_mitochondria,None 
Iochroma cyaneum,362357,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Calyptophractus retusus,984615,Opisthokonta_Metazoa,Chordata,Mammalia,Aerobic_mitochondria,None
Luciogobius platycephalus,646537,Opisthokonta_Metazoa,Chordata,Actinopteri,Aerobic_mitochondria,None
Saccharomycopsis crataegensis,43959,Opisthokonta_Fungi,Ascomycota,Saccharomycetes,Undescribed,None 
Solanum sparsipilum,172796,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Coix lacryma-jobi var. lacryma-jobi,1156411,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Gobiobotia brevibarba,581201,Opisthokonta_Metazoa,Chordata,Actinopteri,Aerobic_mitochondria,None
Monotropa uniflora,50148,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Anguilla reinhardtii,48165,Opisthokonta_Metazoa,Chordata,Actinopteri,Aerobic_mitochondria,None
Metarhizium guizhouense ARSEF 977,1276136,Opisthokonta_Fungi,Ascomycota,Sordariomycetes,Aerobic_mitochondria,None 
Lanceolaria grayana,120563,Opisthokonta_Metazoa,Mollusca,Bivalvia,Aerobic_mitochondria,None
Chascanopsetta lugubris,1003706,Opisthokonta_Metazoa,Chordata,Actinopteri,Aerobic_mitochondria,None
Paramonacanthus choirocephalus,392923,Opisthokonta_Metazoa,Chordata,Actinopteri,Aerobic_mitochondria,None
Avena fatua,4499,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Ettlia pseudoalveolaris,3102,Archaeplastida_Viridiplantae,Chlorophyta,Chlorophyceae,Aerobic_mitochondria,Primary_green_plastid 
Salvator merianae,96440,Opisthokonta_Metazoa,Chordata,Lepidosauria,Aerobic_mitochondria,None
Heliodoxa aurescens,472824,Opisthokonta_Metazoa,Chordata,Aves,Aerobic_mitochondria,None
Taxidea taxus jeffersonii,2282171,Opisthokonta_Metazoa,Chordata,Mammalia,Aerobic_mitochondria,None
Piranga bidentata,63517,Opisthokonta_Metazoa,Chordata,Aves,Aerobic_mitochondria,None
Acanthamoeba palestinensis,28015,Amoebozoa,Discosea,Longamoebia,Aerobic_mitochondria,None 
Reticulitermes nelsonae,1036538,Opisthokonta_Metazoa,Arthropoda,Insecta,Aerobic_mitochondria,None
Limenitis cleophas,1524817,Opisthokonta_Metazoa,Arthropoda,Insecta,Aerobic_mitochondria,None
Myospalax psilurus,146129,Opisthokonta_Metazoa,Chordata,Mammalia,Aerobic_mitochondria,None
Pelophylax cretensis,143642,Opisthokonta_Metazoa,Chordata,Amphibia,Aerobic_mitochondria,None
Octopus mimus,83531,Opisthokonta_Metazoa,Mollusca,Cephalopoda,Aerobic_mitochondria,None
Stachybotrys chartarum IBT 7711,1280523,Opisthokonta_Fungi,Ascomycota,Sordariomycetes,Mitosome,None 
Carpinus oblongifolia,2267876,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Polymixia lowei,143326,Opisthokonta_Metazoa,Chordata,Actinopteri,Aerobic_mitochondria,None
Dracaena cochinchinensis,593754,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Monotoma quadricollis,346807,Opisthokonta_Metazoa,Arthropoda,Insecta,Aerobic_mitochondria,None
Typhlatya dzilamensis,1173215,Opisthokonta_Metazoa,Arthropoda,Malacostraca,Aerobic_mitochondria,None
Tyrophagus longior,223634,Opisthokonta_Metazoa,Arthropoda,Arachnida,Aerobic_mitochondria,None
Tremex columba,222809,Opisthokonta_Metazoa,Arthropoda,Insecta,Aerobic_mitochondria,None
Pristis pectinata,685728,Opisthokonta_Metazoa,Chordata,Chondrichthyes,Anaerobic_mitochondria,None
Pycnarmon lactiferalis,1933172,Opisthokonta_Metazoa,Arthropoda,Insecta,Aerobic_mitochondria,None
Tetraclita serrata,1226277,Opisthokonta_Metazoa,Arthropoda,Hexanauplia,Undescribed,None
Zymoseptoria ardabiliae,1173716,Opisthokonta_Fungi,Ascomycota,Dothideomycetes,Aerobic_mitochondria,None 
Pteropus ornatus,170227,Opisthokonta_Metazoa,Chordata,Mammalia,Aerobic_mitochondria,None
Penicillium camemberti FM 013,1429867,Opisthokonta_Fungi,Ascomycota,Eurotiomycetes,Aerobic_mitochondria,None 
Plasmodium vinckei brucechwatti,119398,SAR_Alveolata,Alveolata,Apicomplexa,Aerobic_mitochondria,Secondary_red_plastid_Apicoplast
Emydura tanybaraga,742145,Opisthokonta_Metazoa,Chordata,Reptilia,Aerobic_mitochondria,None
Stephanolepis cirrhifer,143348,Opisthokonta_Metazoa,Chordata,Actinopteri,Aerobic_mitochondria,None
Gramastacus insolitus,99772,Opisthokonta_Metazoa,Arthropoda,Malacostraca,Aerobic_mitochondria,None
Mycosphaerella sp. Ston1,333113,Opisthokonta_Fungi,Ascomycota,Dothideomycetes,Aerobic_mitochondria,None 
Smittium megazygosporum,133381,Opisthokonta_Fungi,Zoopagomycota,Harpellomycetes,Aerobic_mitochondria,None 
Pterula gracilis,1884261,Opisthokonta_Fungi,Basidiomycota,Agaricomycetes,Aerobic_mitochondria,None 
Phytoseiulus persimilis,44414,Opisthokonta_Metazoa,Arthropoda,Arachnida,Aerobic_mitochondria,None
Isodiametra pulchra,504439,Opisthokonta_Metazoa,Xenacoelomorpha,Acoelomorpha,Aerobic_mitochondria,None
Solenocera crassicornis,228863,Opisthokonta_Metazoa,Arthropoda,Malacostraca,Aerobic_mitochondria,None
Rosa lucieae,74648,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Andraca theae,1928444,Opisthokonta_Metazoa,Arthropoda,Insecta,Aerobic_mitochondria,None
Amblyglyphidodon curacao,80968,Opisthokonta_Metazoa,Chordata,Actinopteri,Aerobic_mitochondria,None
Hemidactylus bowringii,146913,Opisthokonta_Metazoa,Chordata,Lepidosauria,Aerobic_mitochondria,None
Malus florentina,106552,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Undescribed,Primary_green_plastid 
Orcaella heinsohni,682059,Opisthokonta_Metazoa,Chordata,Mammalia,Aerobic_mitochondria,None
Hymenoscyphus repandus,1735280,Opisthokonta_Fungi,Ascomycota,Leotiomycetes,Aerobic_mitochondria,None 
Rhigonema thysanophora,435730,Opisthokonta_Metazoa,Nematoda,Chromadorea,Aerobic_mitochondria,None
Sporophila hypoxantha,256693,Opisthokonta_Metazoa,Chordata,Aves,Aerobic_mitochondria,None
Phaeomoniella chlamydospora RR-HG1,1437857,Opisthokonta_Fungi,Ascomycota,Eurotiomycetes,Aerobic_mitochondria,None 
Eospalax rothschildi,146136,Opisthokonta_Metazoa,Chordata,Mammalia,Aerobic_mitochondria,None
Mastomys coucha,35658,Opisthokonta_Metazoa,Chordata,Mammalia,Aerobic_mitochondria,None
Acanella arbuscula,44213,Opisthokonta_Metazoa,Cnidaria,Anthozoa,Aerobic_mitochondria,None
Antillogorgia bipinnata,1499518,Opisthokonta_Metazoa,Cnidaria,Anthozoa,Aerobic_mitochondria,None
Rhizopogon salebrosus,176626,Opisthokonta_Fungi,Basidiomycota,Agaricomycetes,Aerobic_mitochondria,None 
Heliconius cydno weymeri,265454,Opisthokonta_Metazoa,Arthropoda,Insecta,Aerobic_mitochondria,None
Blumeria graminis f. sp. tritici JIW2,1306134,Opisthokonta_Fungi,Ascomycota,Leotiomycetes,Aerobic_mitochondria,None 
