#Organism_name,taxonomy_ID,Supergroup_group,Phylum,Class,Mitochondria_type,Plastid_type
Nyssomyia umbratilis,182988,Opisthokonta_Metazoa,Arthropoda,Insecta,Aerobic_mitochondria,None
Anomalops katoptron,181433,Opisthokonta_Metazoa,Chordata,Actinopteri,Aerobic_mitochondria,None
Dionda episcopa,364070,Opisthokonta_Metazoa,Chordata,Actinopteri,Aerobic_mitochondria,None
Phatnoma laciniatum,1964415,Opisthokonta_Metazoa,Arthropoda,Insecta,Aerobic_mitochondria,None
Trichinella britovi,45882,Opisthokonta_Metazoa,Nematoda,Enoplea,Anaerobic_mitochondria,None
Scenedesmus quadricauda,3089,Archaeplastida_Viridiplantae,Chlorophyta,Chlorophyceae,Aerobic_mitochondria,Primary_green_plastid 
Paykullia maculata,559696,Opisthokonta_Metazoa,Arthropoda,Insecta,Aerobic_mitochondria,None
Cobitis sinensis,143401,Opisthokonta_Metazoa,Chordata,Actinopteri,Aerobic_mitochondria,None
Lachesilla anna,239245,Opisthokonta_Metazoa,Arthropoda,Insecta,Unknown,None
Trichobilharzia szidati,157070,Opisthokonta_Metazoa,Platyhelminthes,Trematoda,Aerobic_mitochondria,None
Pelodiscus sinensis,13735,Opisthokonta_Metazoa,Chordata,Reptilia,Aerobic_mitochondria,None
Bracteacoccus giganteus,50039,Archaeplastida_Viridiplantae,Chlorophyta,Chlorophyceae,Aerobic_mitochondria,Primary_green_plastid 
Dysdercus cingulatus,191328,Opisthokonta_Metazoa,Arthropoda,Insecta,Aerobic_mitochondria,None
Hinterhubera ericoides,382006,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Dentipellis fragilis,205917,Opisthokonta_Fungi,Basidiomycota,Agaricomycetes,Aerobic_mitochondria,None 
Przewalskium albirostris,1088058,Opisthokonta_Metazoa,Chordata,Mammalia,Aerobic_mitochondria,None
Calidris ruficollis,272047,Opisthokonta_Metazoa,Chordata,Aves,Aerobic_mitochondria,None
Leptodeira polysticta,1431682,Opisthokonta_Metazoa,Chordata,Lepidosauria,Aerobic_mitochondria,None
Lutjanus vitta,379402,Opisthokonta_Metazoa,Chordata,Actinopteri,Aerobic_mitochondria,None
Curcuma flaviflora,136215,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Thitarodes damxungensis,92018,Opisthokonta_Metazoa,Arthropoda,Insecta,Aerobic_mitochondria,None
Hemignathus wilsoni,2518271,Opisthokonta_Metazoa,Chordata,Aves,Aerobic_mitochondria,None
Cyanoderma ruficeps,181631,Opisthokonta_Metazoa,Chordata,Aves,Aerobic_mitochondria,None
Gelidium arborescens,1911538,Archaeplastida_Rhodophyta,Rhodophyta,Florideophyceae,Aerobic_mitochondria,Primary_red_plastid
Heteropneustes fossilis,93621,Opisthokonta_Metazoa,Chordata,Actinopteri,Aerobic_mitochondria,None
Setaria equina,221942,Opisthokonta_Metazoa,Nematoda,Chromadorea,Aerobic_mitochondria,None
Coloceras sp. SLC-2011,1075158,Opisthokonta_Metazoa,Arthropoda,Insecta,Aerobic_mitochondria,None
Hypoatherina tsurugae,126353,Opisthokonta_Metazoa,Chordata,Actinopteri,Aerobic_mitochondria,None
Lagerstroemia fauriei,1812841,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Macaca mulatta vestita,2008792,Opisthokonta_Metazoa,Chordata,Mammalia,Aerobic_mitochondria,None
Drosophila innubila,198719,Opisthokonta_Metazoa,Arthropoda,Insecta,Undescribed,None
Zymoseptoria ardabiliae STIR04_3.3.2,985146,Opisthokonta_Fungi,Ascomycota,Dothideomycetes,Aerobic_mitochondria,None 
Alasmidonta varicosa,85049,Opisthokonta_Metazoa,Mollusca,Bivalvia,Aerobic_mitochondria,None
Eriolarynx fasciculata,362351,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Etheostoma chuckwachatte,310366,Opisthokonta_Metazoa,Chordata,Actinopteri,Aerobic_mitochondria,None
Polyporus brumalis,139420,Opisthokonta_Fungi,Basidiomycota,Agaricomycetes,Aerobic_mitochondria,None 
Mus musculus castaneus,10091,Opisthokonta_Metazoa,Chordata,Mammalia,Aerobic_mitochondria,None
Abies concolor,97173,Archaeplastida_Viridiplantae,Streptophyta,Pinopsida,Aerobic_mitochondria,Primary_green_plastid 
Dimocarpus longan,128017,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Magnaporthe sp. MG08,1758543,Opisthokonta_Fungi,Ascomycota,Sordariomycetes,Aerobic_mitochondria,None 
Sorex araneus,42254,Opisthokonta_Metazoa,Chordata,Mammalia,Anaerobic_mitochondria,None
Murina leucogaster,187017,Opisthokonta_Metazoa,Chordata,Mammalia,Aerobic_mitochondria,None
Fusarium hostae,152502,Opisthokonta_Fungi,Ascomycota,Sordariomycetes,Aerobic_mitochondria,None 
Tricholoma sp. MG99,2175962,Opisthokonta_Fungi,Basidiomycota,Agaricomycetes,Aerobic_mitochondria,None 
Lacunastrum gracillimum,427913,Archaeplastida_Viridiplantae,Chlorophyta,Chlorophyceae,Aerobic_mitochondria,Primary_green_plastid 
Manis culionensis,1836949,Opisthokonta_Metazoa,Chordata,Mammalia,Aerobic_mitochondria,None
Protophormia terraenovae,34676,Opisthokonta_Metazoa,Arthropoda,Insecta,Aerobic_mitochondria,None
Stevia rebaudiana,55670,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Takifugu chinensis,176185,Opisthokonta_Metazoa,Chordata,Actinopteri,Aerobic_mitochondria,None
Trichosporon asahii,82508,Opisthokonta_Fungi,Basidiomycota,Tremellomycetes,Aerobic_mitochondria,None 
Callicerus obscurus,877884,Opisthokonta_Metazoa,Arthropoda,Insecta,Aerobic_mitochondria,None
Neolamprologus brichardi,32507,Opisthokonta_Metazoa,Chordata,Actinopteri,Aerobic_mitochondria,None
Saccharomyces cerevisiae YJM1415,1294366,Opisthokonta_Fungi,Ascomycota,Saccharomycetes,Aerobic_mitochondria,None 
Toxoplasma gondii TgCATBr5,943121,SAR_Alveolata,Alveolata,Apicomplexa,Aerobic_mitochondria,Secondary_red_plastid_Apicoplast
Alloteropsis paniculata,486855,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Cygnus columbianus,110926,Opisthokonta_Metazoa,Chordata,Aves,Undescribed,None
Oscarella tuberculata,252962,Opisthokonta_Metazoa,Porifera,Homoscleromorpha,Aerobic_mitochondria,None
Capra nubiana,72543,Opisthokonta_Metazoa,Chordata,Mammalia,Aerobic_mitochondria,None
Nolina atopocarpa,939154,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Bommeria hispida,414602,Archaeplastida_Viridiplantae,Streptophyta,Polypodiopsida,Aerobic_mitochondria,Primary_green_plastid 
Pachycladon cheesemanii,106773,Archaeplastida_Viridiplantae,Streptophyta,Magnoliopsida,Aerobic_mitochondria,Primary_green_plastid 
Salina celebensis,1588069,Opisthokonta_Metazoa,Arthropoda,Collembola,Aerobic_mitochondria,None
